,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
282,salinas,1,US,1608069008,44,36.68,-121.66,289.15,3.6
283,tuatapere,79,NZ,1608069008,62,-46.13,167.68,292.59,2.68
284,palma,0,ES,1608068912,76,39.57,2.65,286.15,1.5
285,omboue,100,GA,1608069009,89,-1.57,9.26,298.37,3.4
286,hobyo,7,SO,1608069009,76,5.35,48.53,298.39,8.57
287,paamiut,64,GL,1608069009,89,61.99,-49.67,272.93,4.48
288,ilulissat,73,GL,1608069009,53,69.22,-51.1,270.15,8.2
289,filingue,0,NE,1608069009,18,14.35,3.32,298.87,2.28
290,cap malheureux,20,MU,1608069009,86,-19.98,57.61,298.71,3.13
291,tilichiki,99,RU,1608069009,95,60.47,166.1,257.37,6.27
292,broome,90,US,1608069009,62,42.25,-75.83,269.82,4.6
293,progreso,75,MX,1608069009,55,21.28,-89.67,304.15,5.1
294,constantine,0,DZ,1608069009,93,36.37,6.61,282.15,1.5
295,cherskiy,92,RU,1608069009,88,68.75,161.3,244.82,1.77
296,asau,0,RO,1608069009,100,46.43,26.4,273.71,1.04
297,mae chan,11,TH,1608069010,100,20.15,99.85,290.15,0.59
298,feira de santana,11,BR,1608069010,73,-12.27,-38.97,297.82,4.24
299,tromso,75,NO,1608068715,94,69.65,18.96,273.15,5.7
300,ordzhonikidze,34,KZ,1608069010,88,52.44,61.74,261.57,4.24
301,walvis bay,0,NA,1608069010,82,-22.96,14.51,289.82,3.1
302,adre,63,TD,1608069010,23,13.47,22.2,293.12,4.8
303,east london,86,ZA,1608069010,78,-33.02,27.91,293.39,4.52
304,north platte,90,US,1608069010,73,41.12,-100.77,270.15,2.6
305,morris,99,US,1608069010,57,40.83,-74.53,275.37,1.79
306,ponta do sol,20,PT,1608069010,67,32.67,-17.1,289.26,0.5
307,salalah,0,OM,1608069010,56,17.02,54.09,295.15,1.5
308,puri,0,IN,1608068721,88,19.8,85.85,293.15,3.3
309,mount gambier,90,AU,1608068997,93,-37.83,140.77,286.15,6.2
310,kavieng,100,PG,1608069011,71,-2.57,150.8,302.02,2.59
311,mayo,1,US,1608069011,44,38.89,-76.51,278.15,2.6
312,qasigiannguit,2,GL,1608069011,53,68.82,-51.19,270.15,8.2
313,taoudenni,14,ML,1608069011,23,22.68,-3.98,294.1,4.16
314,coos bay,40,US,1608068779,76,43.37,-124.22,286.15,7.2
315,norman wells,75,CA,1608069011,75,65.28,-126.83,245.15,4.6
316,noyabrsk,97,RU,1608069011,86,63.2,75.45,247.87,5.37
317,inhambane,20,MZ,1608068955,88,-23.86,35.38,298.57,2.93
318,leh,66,IN,1608069011,75,34.17,77.58,257.95,0.77
319,tabou,63,CI,1608069011,83,4.42,-7.35,299.28,2.55
320,rockhampton,0,AU,1608069011,74,-23.38,150.5,300.15,1.5
321,juquitiba,75,BR,1608069011,73,-23.93,-47.07,296.15,5.7
322,moen,75,NO,1608069012,92,69.13,18.61,265.15,4.6
323,pasni,0,PK,1608069012,33,25.26,63.47,290.2,11.18
324,luderitz,0,NA,1608069012,60,-26.65,15.16,293.15,9.3
325,riyadh,0,SA,1608068789,39,24.69,46.72,288.15,3.1
326,karasjok,75,NO,1608069012,86,69.47,25.51,271.15,0.34
327,montepuez,85,MZ,1608069012,88,-13.13,39.0,294.52,1.79
328,tuy hoa,82,VN,1608069012,90,13.08,109.3,297.12,5.88
329,kalmunai,27,LK,1608069012,81,7.42,81.82,298.04,2.01
330,awjilah,1,LY,1608069012,78,29.11,21.29,285.41,3.43
331,nuuk,90,GL,1608069012,86,64.18,-51.72,271.15,6.7
332,cabangahan,75,PH,1608069012,88,9.08,122.95,299.15,2.1
333,nea peramos,75,GR,1608069012,71,38.01,23.42,286.15,4.1
334,tarrafal,75,CV,1608069013,69,15.28,-23.77,296.15,5.7
335,vila velha,20,BR,1608069013,78,-20.33,-40.29,301.48,8.7
336,yomou,100,GN,1608069013,95,7.56,-9.27,294.89,0.8
337,cravo norte,100,CO,1608068933,75,6.3,-70.2,300.99,2.48
338,berlevag,75,NO,1608069013,86,70.86,29.09,274.15,1.0
339,carutapera,92,BR,1608068878,80,-1.2,-46.02,299.3,2.93
340,ust-omchug,88,RU,1608069013,82,61.15,149.63,244.43,4.77
341,merke,0,KZ,1608069013,76,42.87,73.18,262.65,1.51
